textID,text,selected_text,sentiment,cleaned_selected_text
1957013149, happy birthdayyy! hope you have an awesome day. didn`t see you at next last night!,happy birthdayyy! hope you have an awesome,positive,happy birthdayyy! hope you have an awesome
1957123747," LOL, very true. Maybe next year. I loooved that siggy, and I don`t remember what the password for the mod thing was  Cake?", i loooved,positive, i loooved
1957127234,Hahaha! Alright  ..,hahaha! alright,positive,hahaha! alright
1957147097,_mommy oh  well i hope she gets better, i hope,positive, i hope
1957155610, I wish I could have time for my xbox  project all tied, wish,positive, wish
1957248127, it is so unfair that all the good rock shows happen only in B`lore and Pune, good,positive, good
1957254388, it is so unfair that all the good rock shows happen only in B`lore and Pune, good,positive, good
1957262854,#thingsmummysaid You need to learn to wash dishes and do laundry because I won`t always be here to do them for you. She was right,she was right,positive,she was right
1957276810, aww dont cry ashley,aww dont cry ashley,positive,aww dont cry ashley
1957284303,"Gha, off to work - hopefully traffic has cleared up by the time I get there!!",hopefully,positive,hopefully
1957292590, and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe., hehe.,positive, hehe.
1957337961,  wish u could rub my head too, wish,positive, wish
1957360852," I`m up wit cha!! Just got home from da reggae club, wishin I was sexin somebody!!!", wishin,positive, wishin
1957381679,i need a good idea... FAST!,good,positive,good
1957468844,I need a present for my mom.  Could anybody help me ?!,i need a present for my mom. could anybody help me ?!,positive,i need a present for my mom. could anybody help me ?!
1957477011, i wish i wasn`t all  bummed but i kinda am,i wish,positive,i wish
1957479923, I`m concerned for that family,i`m concerned,positive,i`m concerned
1957501587," yep, i wish they were all playing dubiln", wish,positive, wish
1957509668,_jane   hope yours will go away quicker than mine (10 weeks now and counting),  hope,positive,  hope
1957515026,__joy i feel like red lea now,__joy,positive,__joy
1957534508,"  ummm...last night when I DM`d you, you said it was a 'good' question.", 'good,positive, 'good
1957562388,Sleep....take two....this better work!,better work!,positive,better work!
1957574114, I am soo excited about your pasadena seminar...if only i can find the confermation email, excited,positive, excited
1957586783, haaaw..well i get out of class at 10:50..i hope i make it, hope,positive, hope
1957641646,Nevermind! Beyonce doesn`t have a Twitter  Haha,nevermind! beyonce doesn`t have a twitter haha,positive,nevermind! beyonce doesn`t have a twitter haha
1957655552,"All alone in this old house again.  Thanks for the net which keeps me alive and kicking! Whoever invented the net, i wanna kiss your hair!", thanks,positive, thanks
1957673248," but better hurry, so you wouldn`t be labeled as copycats"," better hurry,",positive," better hurry,"
1957712115," Hi Isla! I hope it does, too.", i hope,positive, i hope
1957741548, Love it! I wish my other half could even name web design ladies,love it!,positive,love it!
1958087850,Good morning tweeps. Busy this a.m. but not in a working way,good,positive,good
1958096366, If it`s any consolation I`ve had to abandon the back garden thanks to my super-reflective laptop screen, thanks to my super-reflective laptop screen,positive, thanks to my super-reflective laptop screen
1958107130," I feel for you, that sounds like how Kiya was last night  all I can say is get comfy on the couch and enjoy the cuddles!",d enjoy,positive,d enjoy
1958111506, Omg Beckky i love you! you should`ve won the 250G`s  i was rootin for you.. hows things going?, love you!,positive, love you!
1958128886,Mozzer cancelled tonight by the looks of it.,mozzer cancelled tonight by the looks of it.,positive,mozzer cancelled tonight by the looks of it.
1960130347,"no work today! went shopping, and now relaxing  &learning for the toefl",relaxing,positive,relaxing
1960132737,  i jus listened 2 `not okay` it`s nice i lik it.. I`ve been thinkin abt thomas throughout e whole song..  luv ya,s nice,positive,s nice
1960140664,I forget how much I miss my tribe til I have limited access to talking to them. Spotty internet in the country so I won`t be here long.,i forget how much i miss my tribe til i have limited access to talking to them. spotty internet in the country so i won`t be here long.,positive,i forget how much i miss my tribe til i have limited access to talking to them. spotty internet in the country so i won`t be here long.
1960217210, kittens are cute then they grow up n become CATS, cute,positive, cute
1960261135,tikcets are only ï¿½91...each...BUT I SO WANT TO GO,i so want to go,positive,i so want to go
1960306437,I wish I could go to #BEA this weekend.,wish,positive,wish
1960387687,TODAY FRIDAY: I really hope you will read my messages here and reply to me soon. I could not reach you by phone before you go to work.,hope,positive,hope
1960449624,Got approximately 3 hours of sleep last night....I love my life,love my life,positive,love my life
1960459566,Good Morning. It`s Friday and the start of my work week  But... Lakers are going to take the 4th W tonight. Woohoo GO LAKERS!!!!,good,positive,good
1960470693,Going to meet the new family I`m babysitting for... Wish I was still sleeeeping,wish,positive,wish
1960471845,did U watch the spelling bee contest ? winner: Kavya Shivshankar ! Impressive performance - i had not even heared most of the words b4,impressive,positive,impressive
1960495571, Have fun tomorrow night. I think it will be more fun at a bar than art gallery. Wish I could be there,have fun,positive,have fun
1960517013,should not have waled past the Quad! I want to be outside having fun.,fun.,positive,fun.
1960566167,is awake.  Still feeling sick.     But I got the blog done at least. http://plurk.com/p/x17t9,is awake. still feeling sick.,positive,is awake. still feeling sick.
1960585404,"little beetle not feeling any love  Searches are bring up zilch, bar 2 peeps that appear funny !!!", funny,positive, funny
1960659700,my best friends bought something which i really want.,best,positive,best
1960673939," hahaha chivalry`s not dead, just rare","hahaha chivalry`s not dead, just rare",positive,"hahaha chivalry`s not dead, just rare"
1960905445,..exams.  haha just remembrd the china buffet king yesterday. vair amusing ...., amusing,positive, amusing
1960907183, Is it true that you love brazil more than australia  nitey, love,positive, love
1960945637,Headed to verizon. Praying that pinkberry is going to make it.,praying,positive,praying
1960991329,"Well, my dog still isn`t at the shelter. I hope someone good has him",i hope someone good has him,positive,i hope someone good has him
1961038485,i wish i could go to meet in the middle tomorrow.,wish,positive,wish
1961064362, Wish I was in Dallas.. Can I still say ow!? lol Hey... u spelled my name wrong  It`s all good. Thanks for #FF love,l good. thanks for #ff love,positive,l good. thanks for #ff love
1961125428, well there go my peace corps prospects.,well there go my peace corps prospects.,positive,well there go my peace corps prospects.
1961143641, don`t know yet.. no word...   hopeful though!! and some good stuff happening lately so I`m getting excited!,   hopeful though!! and some good stuff happening lately so i`m getting excited,positive,   hopeful though!! and some good stuff happening lately so i`m getting excited
1961172647,Wasabi is recovering from surgery  http://apps.facebook.com/dogbook/profile/view/6121231,recovering from surgery,positive,recovering from surgery
1961178243,"On the monday, so i wont be able to be with you!  i love you", i love you,positive, i love you
1961186575, have fun,have fun,positive,have fun
1961213348, i want to gooo,i want to gooo,positive,i want to gooo
1961252725,"such beautiful weather.. .why are u sick, baby ?  @ tanapolis",beautiful,positive,beautiful
1961281663,Have a happy Friday and weekend everyone .. TGIF for me is nothing,happy,positive,happy
1961291826, Even IE8 would be better, better,positive, better
1961295754,I wish the weather would be slightly less rainy so I could use the hot tub.,wish,positive,wish
1961491479,I`m not ready for my baby to be 3 tomorrow  she is growing so fast...., she is growing so fast....,positive, she is growing so fast....
1961525180,taking care of sick children,taking care of sick children,positive,taking care of sick children
1961544816," i would but he`s premiering avatar footage and can`t do it then. also, we better hang out.", we better hang out.,positive, we better hang out.
1961615909,Making my boyfriend look different.  He`s  cute no matter what. <3,  cute,positive,  cute
1961616327,WORKK! yay,yay,positive,yay
1961740911,Weekend is getting close. Too bad I`ll be stuck up north  Hopefully I`ll be able to get out next weekend for some real life fun., hopefully,positive, hopefully
1961760301,"Finally got to wash my hair! I feel much better now, but I gotta dry it ... Effffffort.",i feel much better,positive,i feel much better
1961765317, Wish I could go. Gotta work.,wish,positive,wish
1961822535,"Hey #socialmediatv  - I`m new here  - is this a recorded show, viewable later too?  thanks  (Social Media TV live > http://ustre.am/2NjV)",?  thank,positive,?  thank
1961878189,Day is going well so far. Meeting until 4 though.,well,positive,well
1961917817,"Enjoyed this week off work, back next week",enjoyed,positive,enjoyed
1961923675,is wanting someone to spend her summer evening with whilst she`s in such a nice relaxed mood !,nice relaxed mood !,positive,nice relaxed mood !
1961929124, I need a hug cuz these garbage truck men keep driving next to me whistling and Im working too hard 2 graduate..., im working too hard,positive, im working too hard
1962062319,http://twitpic.com/66ymw I`m gonna miss these guys so much  Thanks for making the 5 years at senior school amazing!, amazing!,positive, amazing!
1962104716, Panchito`s burfday party tonight... wish you were here kiddo!, wish,positive, wish
1962112003, Good luck at the services tomorrow!! I wish I could see you guys on your vacation!,good luck,positive,good luck
1962136850," Yes.  Me too. I can`t understand why they have to do that. I mean, I know it`s all about Hollywood, but this thing is called love.",d love.,positive,d love.
1962164410, I know it`s against the law... I am a rebel in small things.,i know it`s against the law... i am a rebel,positive,i know it`s against the law... i am a rebel
1962164760," I send messages to greg all the time, no answer  its ok I still love o & a, goog luck with your move to Erie.",l love,positive,l love
1962188314, I REEEALLY wish I could be there  haven`t been n a while.what`s goin on down there lately?, wish,positive, wish
1962259766,"I need some motivation in my life, oh and some love would be nice too",nice,positive,nice
1962267281, well maybe someone will care, care,positive, care
1962406657,Loves using remote access to use my desktop from my laptop.  -- Back from Emerge once again.,loves,positive,loves
1962434172, You are sooo lucky. My fiance is away w/the Marine Corps...haven`t even seen him yet!, lucky.,positive, lucky.
1962472420,"burning cd`s,,,,,,,,, **** outa blank disc`s","burning cd`s,,,,,,,,, **** outa blank disc`s",positive,"burning cd`s,,,,,,,,, **** outa blank disc`s"
1962472894,Loving the sunshine! Wish poor Richie would feel better,loving,positive,loving
1962523011, yep  but I`m going better now,g better,positive,g better
1962530086,What a glorious week. My best holiday ever I think. I so don`t want to go home in the morning,glorious,positive,glorious
1962582804,Car shopping with kacy yay,yay,positive,yay
1962600629, you look sooooo pretty love. dang I wish I was in NY so I could c u do ur thang,you look sooooo pretty love.,positive,you look sooooo pretty love.
1962709944,"it`s been so nice all day, and now it looks like it`s going to rain...just when i was getting excited about taking photos when i get home",nice,positive,nice
1962744991," aww if I could, I would...  GBY ;)","aww if i could, i would... gby ;)",positive,"aww if i could, i would... gby ;)"
1962779580,  read something happy?,g happy?,positive,g happy?
1962830382,  Happy Belated birthday hun!! My net broke  This is the first chance i`ve had to get online! Luff Yooooooo xxxxxxxx, happy,positive, happy
1962843150,going to work once again. what a great few days off i had. now it`s over  but atleast i get 2 more commin up wahooooooo,great,positive,great
1962845532,"mmm, pizza for dinner. yum. but i burnt my mouth though ..",yum.,positive,yum.
1962896921, I know.  I am definitely going to try and see Up this weekend.,  i am definitely going to try and see up this weekend.,positive,  i am definitely going to try and see up this weekend.
1962912560, I would vote for you Miley but I live in Ireland  You`ll be fine  Good luck! Slï¿½n!(bye in irish ) Sorcha xxxx,e  good luck,positive,e  good luck
1962925422,thank god for some overcast and ivory. Trying to get my mom to take me out to lunch egh doesnt look like its gonna work.,thank god,positive,thank god
1962931433, Thanks though - am trying to be positive!!  Wine may not be helping lol!!  Wish I could make the gigs.....,thanks,positive,thanks
1962933053,Hi .. I have the net YAYY.. Im here for a short time though,yayy..,positive,yayy..
1962962311, Oh noes.  Hope you feel better soon. My head sympathizes with yours.,  hope,positive,  hope
1963005026,"YAYAYYAYAYAY Toy Story 3 is coming out. June 18, 2010 though",yayayyayayay,positive,yayayyayayay
1963014008," nooooooooo....u never call me anymore  lol...but, i`ve been good too...rick ross is in town, might go 2 his show 2nite ;-)",n good,positive,n good
1963065157,It`s a beautiful nice day and I`m stuck inside!,beautiful,positive,beautiful
1963128652, me too! i wish it would just say who has unfollowed, wish,positive, wish
1963135231, I need to buy it for the iPhone. It`s such a good app. Only works on WI-FI though, good,positive, good
1963179363,_carter Hey Brian Littrell is there!! He doesnt really like this kinda pages rigth?  kisses! I loev you guys!, kisses! i loev you guys!,positive, kisses! i loev you guys!
1963351522,"over LT training today, ehhh hard to tall how hard it was. But now I feels good. Sunday race day again... Its raining now so lost of mud",good.,positive,good.
1963363911,i love the dreambears!.. i want a **** best friend!,i love,positive,i love
1963368138, not sexy with 2 tubes sticking out of my stomach  but thanks !,t thanks,positive,t thanks
1963384069,I Wanna be @ JET in the Mirage...     Couldn`t get to Hawaii either   *****Someday***** Much Love To THE_WOCKEEZ and SuperCr3w,much love,positive,much love
1963486037,Ahh... I love Chinese music. Haha.  Not gonna see my luff til Thursday...,love,positive,love
1963508110,i so wish i could get pregnant!!,wish,positive,wish
1963524741,"nice night, should be golfing",nice,positive,nice
1963542564, but but it was funny when I wrote it, funny,positive, funny
1963569628,FRIDAY so freakin happy today was an annoying day  buuut WEEKEND! TGIF<3,happy,positive,happy
1963569951,"    I am sending healthy, healing thoughts in the mumborg`s direction.","ing healthy, healing though",positive,"ing healthy, healing though"
